epoch,categorical_accuracy,loss,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.5763888955116272,2.3888559341430664,0.5763888955116272,0.5763888955116272,0.5,644.1677856445312,0.5,0.5
1,0.6944444179534912,0.7096933126449585,0.6944444179534912,0.6944444179534912,0.4583333432674408,1.5133733749389648,0.4583333432674408,0.4583333432674408
2,0.7708333134651184,0.5550699830055237,0.7708333134651184,0.7708333134651184,0.3541666567325592,2.8477041721343994,0.3541666567325592,0.3541666567325592
3,0.8055555820465088,0.44535356760025024,0.8055555820465088,0.8055555820465088,0.375,2.724837064743042,0.375,0.375
4,0.8055555820465088,0.4046628177165985,0.8055555820465088,0.8055555820465088,0.3541666567325592,3.988435983657837,0.3541666567325592,0.3541666567325592
5,0.8680555820465088,0.360636830329895,0.8680555820465088,0.8680555820465088,0.4166666567325592,3.0271177291870117,0.4166666567325592,0.4166666567325592
6,0.8680555820465088,0.32635700702667236,0.8680555820465088,0.8680555820465088,0.3333333432674408,3.1357460021972656,0.3333333432674408,0.3333333432674408
7,0.8819444179534912,0.3869098424911499,0.8819444179534912,0.8819444179534912,0.4375,3.254896879196167,0.4375,0.4375
8,0.875,0.28820160031318665,0.875,0.875,0.375,3.9185256958007812,0.375,0.375
9,0.8888888955116272,0.29171860218048096,0.8888888955116272,0.8888888955116272,0.3958333432674408,2.757864236831665,0.3958333432674408,0.3958333432674408
10,0.8541666865348816,0.32594001293182373,0.8541666865348816,0.8541666865348816,0.3333333432674408,4.748075485229492,0.3333333432674408,0.3333333432674408
11,0.8333333134651184,0.46147531270980835,0.8333333134651184,0.8333333134651184,0.625,0.6542263627052307,0.625,0.625
12,0.7916666865348816,0.4113710820674896,0.7916666865348816,0.7916666865348816,0.375,1.4873000383377075,0.375,0.375
13,0.8958333134651184,0.2768345773220062,0.8958333134651184,0.8958333134651184,0.5833333134651184,1.3155099153518677,0.5833333134651184,0.5833333134651184
14,0.8472222089767456,0.39094674587249756,0.8472222089767456,0.8472222089767456,0.9583333134651184,0.2032463103532791,0.9583333134651184,0.9583333134651184
15,0.8194444179534912,0.40404433012008667,0.8194444179534912,0.8194444179534912,0.7291666865348816,0.5119198560714722,0.7291666865348816,0.7291666865348816
16,0.8333333134651184,0.4054878056049347,0.8333333134651184,0.8333333134651184,0.7708333134651184,0.5589236617088318,0.7708333134651184,0.7708333134651184
17,0.8402777910232544,0.48102766275405884,0.8402777910232544,0.8402777910232544,0.8333333134651184,0.4226743280887604,0.8333333134651184,0.8333333134651184
18,0.8888888955116272,0.2578815817832947,0.8888888955116272,0.8888888955116272,0.6458333134651184,0.8090525269508362,0.6458333134651184,0.6458333134651184
19,0.9097222089767456,0.25853919982910156,0.9097222089767456,0.9097222089767456,0.875,0.3310433328151703,0.875,0.875
